wavelength,watermilfoil,primrose,tule,soil,waterturbid,waterclear,npv,egeria,hyacinth,sagoturbid,pennywort,cattail,cabomba,curlyleaf,phragmites
1463.73999,0.007746,0.079572,0.043691,0.208684,0.003997,0.004493,0.281745,0.013083,0.051847,0.002774,0.096061,0.054525,0.003378,0.006144,0.109673
1468.75,0.004137,0.083112,0.045532,0.213121,0.009899,0.005119,0.280838,0.017301,0.064735,0.002047,0.109907,0.063593,0.003813,0.005018,0.117164
1473.76001,0.009135,0.083472,0.04451,0.202702,0.00624,0.004445,0.285536,0.017247,0.059879,0.003186,0.097982,0.06082,0.004556,0.006596,0.113818
1478.77002,0.007816,0.086406,0.04295,0.206305,0.007259,0.006085,0.286984,0.014787,0.060555,0.002955,0.094852,0.060123,0.005401,0.008074,0.112247
1483.780029,0.008034,0.087601,0.043084,0.206198,0.005464,0.004041,0.282077,0.015642,0.06035,0.002857,0.099565,0.056129,0.004067,0.006216,0.117205
1488.780029,0.006744,0.089386,0.043248,0.207154,0.006498,0.005355,0.284335,0.013317,0.059382,0.003167,0.103168,0.057095,0.004259,0.005454,0.116024
1493.790039,0.006062,0.091542,0.042801,0.211829,0.005339,0.004832,0.291892,0.01347,0.059921,0.00283,0.101855,0.056875,0.004603,0.005223,0.115393
1498.800049,0.005709,0.092367,0.042432,0.212475,0.00584,0.005352,0.291582,0.012996,0.060128,0.002888,0.105411,0.056454,0.005464,0.005055,0.116121
1503.810059,0.006033,0.096531,0.045263,0.21617,0.005582,0.005223,0.2934,0.012772,0.061259,0.003748,0.108026,0.058166,0.005099,0.004989,0.12061
1508.819946,0.00591,0.100824,0.044904,0.216352,0.006331,0.005314,0.296072,0.013022,0.064535,0.004272,0.114827,0.059028,0.005171,0.005852,0.123918
1513.829956,0.005875,0.10387,0.045436,0.218609,0.006666,0.005692,0.296706,0.01331,0.068313,0.003844,0.119987,0.061473,0.004954,0.006493,0.12581
1518.839966,0.006122,0.108165,0.046753,0.217036,0.006176,0.005174,0.301271,0.013853,0.071251,0.003416,0.124138,0.062955,0.005839,0.005877,0.128871
