Wavelength,water,soil,npv,veg,sav,emr
1498.800049,0.008931,0.255411,0.253033,0.122639,0.009487,0.132228
1503.810059,0.009313,0.257547,0.254058,0.127364,0.010286,0.133344
1508.819946,0.009662,0.2612,0.255941,0.132313,0.010748,0.137449
1513.829956,0.009194,0.262317,0.259937,0.138783,0.00997,0.141106
1518.839966,0.01046,0.262997,0.260873,0.144248,0.010293,0.143365
1523.849976,0.010557,0.266671,0.262601,0.148977,0.010742,0.146096
1528.849976,0.010893,0.264807,0.264605,0.155059,0.01081,0.147842
1533.859985,0.010761,0.267712,0.26613,0.159584,0.010956,0.152227
1538.869995,0.010875,0.26917,0.268186,0.164937,0.010821,0.154684
1543.880005,0.011295,0.267431,0.266869,0.171826,0.011824,0.157279
1548.890015,0.011884,0.268588,0.267452,0.176831,0.011257,0.159822
1553.900024,0.011381,0.270068,0.270069,0.18181,0.011619,0.162266
1558.910034,0.011372,0.270636,0.271221,0.185937,0.011455,0.165817
1563.910034,0.01122,0.269206,0.268849,0.190252,0.011809,0.167544
1568.920044,0.011134,0.270815,0.26914,0.195008,0.011322,0.168376
1573.930054,0.011632,0.270361,0.272533,0.200978,0.011879,0.171232
1578.939941,0.011605,0.270921,0.270803,0.204541,0.011816,0.174682
1583.949951,0.011673,0.273959,0.274078,0.209492,0.01143,0.177682
1588.959961,0.011326,0.272713,0.273417,0.214162,0.012398,0.180323
1593.969971,0.011807,0.275367,0.276673,0.216832,0.012116,0.182644
1598.97998,0.011915,0.277484,0.277054,0.221767,0.012202,0.184201
1603.97998,0.011613,0.277044,0.280577,0.224177,0.012112,0.186245
1608.98999,0.011607,0.279127,0.285001,0.226062,0.012349,0.18879
1614,0.012383,0.282577,0.288065,0.231097,0.0123,0.190961
1619.01001,0.012164,0.280429,0.289883,0.234701,0.012598,0.192821
1624.02002,0.012512,0.281596,0.291039,0.238762,0.012996,0.196178
1629.030029,0.012724,0.283035,0.292628,0.241245,0.012901,0.198145
1634.040039,0.012152,0.286496,0.293226,0.240538,0.012587,0.19875
1639.040039,0.013088,0.284228,0.294367,0.244462,0.012762,0.201232
